id,content,information
1,"The distance it takes a driver of a motor vehicle to stop is …","Rules of the road realted question"
2,"You may cross or enter a public road …","Rules of the road realted question"
3,"The fastest speed at which you may tow a vehicle with a rope is … km/h.","Rules of the road realted question"
4,"You may pass another vehicle on it’s left hand side if it …","Rules of the road realted question"
5,"The furthest that your vehicle’s dim lights may shine in front of you is …. m.","Rules of the road realted question"
6,"The last action you must take before moving to another lane is to …","Rules of the road realted question"
7,"You may NOT drive into an intersection when ..","Rules of the road realted question"
8,"At and intersection …","Rules of the road realted question"
9,"If you come to a robot and the red light flashes, you must …","Rules of the road realted question"
10,"Unless otherwise shown by a sign, the general speed limit in a town or city is … km/h.","Rules of the road realted question"
11,"Your vehicles headlights must be switched on …","Rules of the road realted question"
12,"You may on a public road … ","Rules of the road realted question"
13,"A safe following distance is, when the vehicle in front of you suddenly stops, you could …","Rules of the road realted question"
14,"If you only have a learner’s licence for a light motor vehicle…","Rules of the road realted question"
15,"Under which circumstances, if any are you allowed to drive your motor vehicle on the right hand side of a public road with traffic moving in both directions ?","Rules of the road realted question"
16,"What is true with regards to seat belts?","Rules of the road realted question"
17,"You may not obtain a leaner’s licence if …","Rules of the road realted question"
18,"You are not allowed to stop …","Rules of the road realted question"
19,"A vehicle of which the brakes are not good, must be towed ","Rules of the road realted question"
20,"The thread pattern on your tires may not be less than … mm. ","Rules of the road realted question"
21,"When do you have right of way?","Rules of the road realted question"
22,"When may you NOT pass another vehicle ? When you …","Rules of the road realted question"
23,"A vehicle of which the brakes are not good, must be towed ","Rules of the road realted question"
24,"Which is ALLOWED when towing another vehicle?","Rules of the road realted question"
25,"Which is considered the most important RULE OF THE ROAD in South Africa ?","Rules of the road realted question"
26,"The legal speed which you may drive …","Rules of the road realted question"
27,"If you want to turn left with your vehicle, you must","Rules of the road realted question"
28,"When you were involved in an accident you","Rules of the road realted question"
29,"If you change lanes, you must …","Rules of the road realted question"
