id,content,information
1,"Longer if the vehicle is traveling at a higher speed.",
2,"Longer on a wet road than on a dry road",
3,"Longer if the vehicle is loaded.",
4,"If the road is clear for a long distance and can be done so without obstructing traffic.",
5,"In any manner as long as you use your indicator in time.",
6,"If the road is clear of traffic for a short distance.",
7,"60",
8,"45",
9,"30",
10,"Indicates that is is going to turn right.",
11,"Drives on the right hand side of the road with a shoulder where you can pass.",
12,"Drives in a town in the right-hand lane with two lanes in the same direction.",
13,"45",
14,"100",
15,"150",
16,"Switch on your indicator.",
17,"Check the bling spot",
18,"Looking the mirror",
19,"There is not enough space in the intersection to turn right without blocking other traffic",
20,"The vehicle in front of you wants to turn right and the road is wide enough to pass on the left-hand side",
21,"The robot (traffic signal) is yellow and you are already in the intersection",
22,"Pedestrians, who are already crossing the road when the red man signal starts showing, have right of way.",
23,"You can pass another vehicle waiting to turn right on its left side by going off the road.",
24,"You can stop in to off load passengers.",
25,"Stop and wait for the light to change to green before you go.",
26,"stop and go only if it is safe to do so.",
27,"Look out for road block as the light show you a police stop.",
28,"Call the local traffic department to report it",
29,"60",
30,"80",
31,"100",
32,"As fast as the other vehicle’s in the area",
33,"When is rains and you cannot see vehicles 100 m in front of you.",
34,"You tow another vehicle with a tow-bar.",
35,"At any time of day when you cannot see persons and vehicles 150 m in front of you.",
36,"Not pass any vehicle on the left-hand side.",
37,"Pass another vehicle at any place on the left hand side if it is turning right.",
38,"Pass another vehicle turning right,on the left-hand side without driving on the shoulder of the road.",
39,"Stop without swerving",
40,"swerve and stop next to it",
41,"swerve and pass",
42,"There must be someone with you in the vehicle with the same driving licence.",
43,"You are not allowed to drive on a freeway.",
44,"No passengers are allowed with you in the vehicle.",
45,"When you switch the emergency lights of your motor vehicle on.",
46,"When a traffic officer orders you to do so.",
47,"Under no circumstances.",
48,"If your vehicle has seat belts in the rear, it must be worn",
49,"You need not wear seat belt when reversing.",
50,"Children younger than 14 years need not wear seat belts.",
51,"If the front seat has a belt, your only passenger may not sit in the back",
52,"You already have a licence that authorizes the driving of the same vehicle class.",
53,"You are declared unfit to obtain a driving licence for a certain period and that period still prevails",
54,"Your licence was suspended temporarily and the suspension has not yet expired.",
55,"Opposite a vehicle, where the roadway is 10 m wide.",
56,"Where you are not allowed to park",
57,"5 m from a bridge",
58,"With a rope",
59,"With a tow-bar",
60,"On a trailer",
61,"0.75",
62,"1",
63,"1.5",
64,"When you are with in a traffic circle.",
65,"When you have stopped fist at a four way stop.",
66,"When you want to turn right at an intersection in a two way road.",
67,"Are nearing the top of a hill",
68,"Nearing a curve",
69,"Can only see 100 m in front of you because of smoke over the road.",
70,"With a rope",
71,"With a tow-bar",
72,"On a trailer",
73,"A motor car tows another motorcar with a rope and drive 40 km/h.",
74,"You tow another vehicle with a tow-bar.",
75,"A tractor tows a trailer with 10 passengers on it at a speed of 30km/h",
76,"Drinking and driving",
77,"Always be courteous and considerate towards fellow road users.",
78,"Do not exceed the speed limit.",
79,"Keep to the left side of the road as far as safe.",
80,"is always 120 km/m outside towns/cities?",
81,"can be determined by yourself if you look at the number on lanes which the road has",
82,"is shown to you by the signs next you the road",
83,"Slow down",
84,"Give other vehicle’s room to pass",
85,"Indicate your intensions and give the necessary signal in time",
86,"may use a little bit of alcohol for the shock",
87,"must check if anyone is injured",
88,"must immediately stop your vehicle",
89,"Switch on your indicator and change lanes.",
90," Give the necessary signal after looking for other traffic, change lanes.",
91,"Take a selfie",
92,"Apply the brakes lightly and then change lanes.",
93,"All of the above",
